 [REALTIME] response.audio_transcript.delta
prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.delta
prosaas-backend  | 🔥 [BUILD 171] AI finished speaking - cooldown started (800ms)
prosaas-backend  | 🔊 [REALTIME] response.done: status=completed, output_count=1, details=None
prosaas-backend  |    output[0]: type=message, content_types=['audio']
prosaas-backend  | [REALTIME] event: rate_limits.updated
prosaas-backend  | ✅ [PHASE 2] Greeting finished after 1.8s - now updating session
prosaas-backend  | 🔇 [AUDIO GATE] Blocked 100 frames (rms=8, reason=noise)
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=False, waiting_for_dtmf=False, rms=8, voice_frames=0
prosaas-backend  | 📞 [INBOUND] session.update with max_tokens=4096
prosaas-backend  | ✅ [PHASE 2] Session updated with full prompt: 2882 chars, voice=shimmer locked, max_tokens=4096, transcription=Hebrew
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=False, waiting_for_dtmf=False, rms=34, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=176.0 > threshold=141.8
prosaas-backend  | [REALTIME] sending audio TO OpenAI: chunk#1, μ-law bytes=160, first5=d0 d5 df fc 63, rms=413, consec_frames=5
prosaas-backend  | [REALTIME] sending audio TO OpenAI: chunk#2, μ-law bytes=160, first5=fa 7c 70 69 63, rms=159, consec_frames=6
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=False, waiting_for_dtmf=False, rms=26, voice_frames=0
prosaas-backend  | 🔇 [AUDIO GATE] Blocked 200 frames (rms=23, reason=noise)
prosaas-backend  | [REALTIME] sending audio TO OpenAI: chunk#3, μ-law bytes=160, first5=29 35 d5 af bb, rms=5584, consec_frames=5
prosaas-backend  | [REALTIME] event: input_audio_buffer.speech_started
prosaas-backend  | 🎤 [REALTIME] User started speaking - setting user_has_spoken=True
prosaas-backend  | ✅ [LOOP GUARD] User started speaking - resetting consecutive counter (1 -> 0)
prosaas-backend  | 🎤 [BUILD 166] Noise gate BYPASSED - sending ALL audio to OpenAI
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=1011, voice_frames=0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=102, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=180.0 > threshold=141.8
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=1307, voice_frames=0
prosaas-backend  | 💓 WS_KEEPALIVE #1 (prevents 5min timeout)
prosaas-backend  | 🔇 [SILENCE] Warning 1/2 after 6.0s silence
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city', 'service_type'] | Collected: []
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=1183, voice_frames=0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=90, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=1081.0 > threshold=141.8
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=172, voice_frames=0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=2458, voice_frames=0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=902, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=8712.0 > threshold=141.8
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=255, voice_frames=0
prosaas-backend  | 🔇 [SILENCE] Warning 2/2 after 6.0s silence
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city', 'service_type'] | Collected: []
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=721, voice_frames=0
prosaas-backend  | [REALTIME] event: input_audio_buffer.speech_stopped
prosaas-backend  | 🎤 [BUILD 166] Speech ended - noise gate RE-ENABLED
prosaas-backend  | [REALTIME] event: input_audio_buffer.committed
prosaas-backend  | [REALTIME] event: conversation.item.created
prosaas-backend  | 🔊 [REALTIME] response.created: id=resp_Cj98uMpQE5Yob8e...
prosaas-backend  | 🎯 [RESPONSE.CREATED] id=resp_Cj98uMpQE5Yob8e... status=in_progress modalities=['audio', 'text'] output_format=g711_ulaw
prosaas-backend  | [REALTIME] event: input_audio_buffer.speech_started
prosaas-backend  | 🎤 [REALTIME] User started speaking - setting user_has_spoken=True
prosaas-backend  | 🎤 [BUILD 166] Noise gate BYPASSED - sending ALL audio to OpenAI
prosaas-backend  | 🔊 [REALTIME] response.done: status=cancelled, output_count=0, details={'type': 'cancelled', 'reason': 'turn_detected'}
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=36, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=288.0 > threshold=141.8
prosaas-backend  | [REALTIME] event: conversation.item.input_audio_transcription.completed
prosaas-backend  | [GIBBERISH] Detected: 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות' | Reason: repeated_pattern: 'בבק' x3 | Confidence: 70%
prosaas-backend  | ✅ [NOISE FILTER] ALLOWED Hebrew: 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות'
prosaas-backend  | [NOISE FILTER] ✅ ACCEPTED: 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות' (hebrew=51, english=0)
prosaas-backend  | 💰 [COST] User utterance: 12.04s (556 chunks total)
prosaas-backend  | 👤 [REALTIME] User said: אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=4550, voice_frames=0
prosaas-backend  | 🎤 END OF UTTERANCE: 12.0s audio, conversation #0
prosaas-backend  | 🧠 STATE -> PROCESSING | len=192000 | silence_ms=0
prosaas-backend  | ⏭️ [REALTIME] Skipping Google STT/TTS - using Realtime API only
prosaas-backend  | ✅ Processing complete for conversation #0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=298, voice_frames=0
prosaas-backend  | 💓 WS_KEEPALIVE #2 (prevents 5min timeout)
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=310, voice_frames=0
prosaas-backend  | 🎙️ REAL_VOICE: rms=347.0 > threshold=141.8
prosaas-backend  | ✅ [LEAD STATE] Updated: city_needs_retry=True
prosaas-backend  | 📋 [LEAD STATE] Current state: {'city_needs_retry': 'True'}
prosaas-backend  | ❌ [CITY] Rejected '24, 25, 24' (confidence=60%) - ask to repeat
prosaas-backend  | ✅ [LEAD STATE] Updated: service_type=בבקשה פורט זלתות
prosaas-backend  | 📋 [LEAD STATE] Current state: {'city_needs_retry': 'True', 'service_type': 'בבקשה פורט זלתות'}
prosaas-backend  | ✅ [LEAD STATE] Extracted service_type from confirmation: בבקשה פורט זלתות
prosaas-backend  | 🔍 [DEBUG] Calling NLP after user transcript: 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 2...'
prosaas-backend  | 🔍 [DEBUG] _check_appointment_confirmation called with transcript: 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 2...'
prosaas-backend  | 🔍 [DEBUG] Conversation history length: 2
prosaas-backend  | 🔍 [DEBUG] User messages for hash: ['אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות']
prosaas-backend  | 🔍 [DEBUG] Current conversation hash: a6a40d45...
prosaas-backend  | 🔍 [DEBUG] First NLP run - processing
prosaas-backend  | 🔍 [NLP] ✅ WILL PROCESS new conversation state (hash=a6a40d45...)
prosaas-backend  | 🔍 [DEBUG] CRM context exists: False
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'אני צריך בבקשה פורט זלתות בבקש...'
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']🔍 [NLP] ▶️ Analyzing conversation for appointment intent...
prosaas-backend  | 🔍 [NLP] Conversation history has 2 messages
prosaas-backend  | 
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city'] | Collected: ['service_type=בבקשה פורט זלתות']
prosaas-backend  | [SAFETY] Transcription successful (total failures: 0)
prosaas-backend  | 🔍 [NLP] Last 3 messages: [{'speaker': 'ai', 'text': 'שלום! זה מ-אתר המנעולן. איזה סוג שירות אתה צריך?', 'ts': 1764875926.829974}, {'speaker': 'user', 'text': 'אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות', 'ts': 1764875942.2664862}]
prosaas-backend  | [REALTIME] event: input_audio_buffer.speech_stopped
prosaas-backend  | 🎤 [BUILD 166] Speech ended - noise gate RE-ENABLED
prosaas-backend  | [REALTIME] event: input_audio_buffer.committed
prosaas-backend  | [REALTIME] event: conversation.item.created
prosaas-backend  | 🔊 [REALTIME] response.created: id=resp_Cj98zvK2mxkOfaZ...
prosaas-backend  | 🎯 [RESPONSE.CREATED] id=resp_Cj98zvK2mxkOfaZ... status=in_progress modalities=['audio', 'text'] output_format=g711_ulaw
prosaas-backend  | [REALTIME] event: input_audio_buffer.speech_started
prosaas-backend  | 🎤 [REALTIME] User started speaking - setting user_has_spoken=True
prosaas-backend  | 🎤 [BUILD 166] Noise gate BYPASSED - sending ALL audio to OpenAI
prosaas-backend  | 🔊 [REALTIME] response.done: status=cancelled, output_count=0, details={'type': 'cancelled', 'reason': 'turn_detected'}
prosaas-backend  | INFO:     127.0.0.1:50198 - "GET /health HTTP/1.1" 200 OK
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=1140, voice_frames=0
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=46, voice_frames=0
prosaas-backend  | [REALTIME] event: conversation.item.input_audio_transcription.completed
prosaas-backend  | ✅ [NOISE FILTER] ALLOWED Hebrew: 'תודה רבה.'
prosaas-backend  | [NOISE FILTER] ✅ ACCEPTED: 'תודה רבה.' (hebrew=7, english=0)
prosaas-backend  | 📝 [SEGMENT MERGE] FLUSH - long pause (4622ms)
prosaas-backend  | 💰 [COST] User utterance: 1.53s (788 chunks total)
prosaas-backend  | 👤 [REALTIME] User said: תודה רבה.
prosaas-backend  | ✅ [BUILD 176] User CONFIRMED with 'תודה רבה.' - verification_confirmed = True
prosaas-backend  | WS_STOP sid=MZb7bba86432006c0a6acd6923fc161786 rx=1133 tx=185
prosaas-backend  | 📞 [SES-278258ba] CALL ENDED - duration=22.6s, business_id=10, rx=1133, tx=185
prosaas-backend  | ✅ [LEAD STATE] Updated: city_needs_retry=True
prosaas-backend  | 📋 [LEAD STATE] Current state: {'city_needs_retry': 'True', 'service_type': 'בבקשה פורט זלתות'}
prosaas-backend  | ❌ [CITY] Rejected 'תודה' (confidence=47%) - ask to repeat
prosaas-backend  | 🔍 [DEBUG] Calling NLP after user transcript: 'תודה רבה....'
prosaas-backend  | 🔍 [DEBUG] _check_appointment_confirmation called with transcript: 'תודה רבה....'
prosaas-backend  | 🔍 [DEBUG] Conversation history length: 3
prosaas-backend  | 🔍 [DEBUG] User messages for hash: ['אני צריך בבקשה פורט זלתות בבקשה רבי אבנת 25, 24, 25, 24 25, 24 צריך בבקשה פורט זלתות', 'תודה רבה.']
prosaas-backend  | 🔍 [DEBUG] Current conversation hash: 222b1128...
prosaas-backend  | ⏭️ [NLP] BLOCKED - Another NLP thread is still processing
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'תודה רבה....'
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city'] | Collected: ['service_type=בבקשה פורט זלתות']
prosaas-backend  | [SAFETY] Transcription successful (total failures: 0)
prosaas-backend  | 📤 [REALTIME] Audio sender ended
prosaas-backend  | 📝 [REALTIME] Text sender ended
prosaas-backend  | STREAM_ENDED call=CA0b99b3b05526830b30565c7588d159cf stream=N/A status=N/A
prosaas-backend  | INFO:     172.18.0.5:50396 - "POST /webhook/stream_ended HTTP/1.1" 204 No Content
prosaas-backend  | 🧹 Waiting for 5 background threads...
prosaas-backend  | INFO:     172.18.0.5:50398 - "POST /webhook/call_status HTTP/1.1" 204 No Content
prosaas-backend  | ✅ Found existing recording for CA0b99b3b05526830b30565c7588d159cf: /2010-04-01/Accounts/ACcd09431f076a309088b18ed1f286f32e/Recordings/REc346f2bf7b12d3bfd2f7386772ff74a4.json
prosaas-backend  | ✅ Recording queued for processing: CA0b99b3b05526830b30565c7588d159cf
prosaas-backend  | 🔍 [NLP] ◀️ NLP result: {'action': 'none', 'date': 'null', 'time': 'null', 'name': 'null', 'phone': 'null', 'confidence': 0.0}
prosaas-backend  | 📭 [NLP] No appointment action detected (action=none)
prosaas-backend  | INFO:     connection closed
prosaas-backend  | ⚠️ Background thread 0 still running after timeout
prosaas-backend  | ⚠️ Background thread 4 still running after timeout
prosaas-backend  | ✅ All background threads cleanup complete
prosaas-backend  | WS_DONE sid=MZb7bba86432006c0a6acd6923fc161786 rx=1133 tx=185
prosaas-backend  | 🔇 [SILENCE] Warning 1/2 after 6.5s silence
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city'] | Collected: ['service_type=בבקשה פורט זלתות']
prosaas-backend  | 🔍 AUTH DEBUG: user_id=10, role=owner, business_id=10, computed_tenant=10, impersonating=False
prosaas-backend  | 🔔 /api/notifications - tenant_id=10, g.tenant=10
prosaas-backend  | 🔔 Querying reminders for tenant_id=10, is_system_admin=False
prosaas-backend  | ✅ CALL FINALIZED: CA0b99b3b05526830b30565c7588d159cf
prosaas-backend  | 📝 Summary: ### סוג הפנייה והתחום:
prosaas-backend  | שיחה עם לקוח בתחום המנעולים, המתעניין בשירות פורט זלתות.
prosaas-backend  | 
prosaas-backend  | ### פרטים ספציפיים:
prosaas-backend  | - **שירות נדרש**: פורט זלתות
prosaas-backend  | - **כתובת**: רבי אבנת 25
prosaas-backend  | - **כמות זלתות**: 24, 25, 24, 25, 24
prosaas-backend  | 
prosaas-backend  | ### פרטי הלקוח:
prosaas-backend  | לא נמסרו פרטי לקוח או אמצעי התקשרות.
prosaas-backend  | 
prosaas-backend  | ### סטטוס ומעקב:
prosaas-backend  | - **פעולה נדרשת**: יש לתאם את ביצוע שירות הפורט זלתות בכתובת המצוינת.
prosaas-backend  | - **דחיפות**: לא צוינה דחיפות, אך מומלץ לפעול בהקדם כדי לשמור על קשר עם הלקוח.
prosaas-backend  | 
prosaas-backend  | ### הערות חשובות:
prosaas-backend  | יש לוודא שהלקוח מבין את התהליך ואת העלויות הכרוכות בשירות. מומלץ גם לבדוק אם יש צורך בשירותים נוספים הקשורים למנעולים או אבטחה.
prosaas-backend  | 🎯 Intent: general_inquiry
prosaas-backend  | 📊 Next Action: מעקב תוך 24 שעות
prosaas-backend  | ℹ️ Appointment handling: Managed by Agent during call (BUILD 119)
prosaas-backend  | 📱 [WEBHOOK] Phone extraction debug:
prosaas-backend  |    - self.phone_number: None
prosaas-backend  |    - self.customer_phone_dtmf: NOT_SET
prosaas-backend  | 🔔 Found 0 reminders
prosaas-backend  | INFO:     172.18.0.5:36924 - "GET /api/notifications HTTP/1.1" 200 OK
prosaas-backend  |    - call_log.from_number: +972504294724
prosaas-backend  |    - crm_context.customer_phone: NO_CRM
prosaas-backend  |    ✓ Using CallLog from_number: +972504294724
prosaas-backend  | 🎯 [WEBHOOK] Extracted SPECIFIC service from AI confirmation: 'בבקשה פורט זלתות'
prosaas-backend  | 📋 [WEBHOOK] Lead capture state: {'city_needs_retry': 'True', 'service_type': 'בבקשה פורט זלתות'}
prosaas-backend  | [WEBHOOK] 📦 Payload built: call_id=CA0b99b3b05526830b30565c7588d159cf, phone=+972504294724, city=N/A, direction=inbound
prosaas-backend  | [WEBHOOK] Sending call.completed to http://prosaas.pro/n8n/webhook/prosaas-call-comple... (attempt 1)✅ [WEBHOOK] Call completed webhook queued: phone=+972504294724, city=N/A, service=בבקשה פורט זלתות
prosaas-backend  | 
prosaas-backend  | [WEBHOOK] 🔀 Following redirect to: https://prosaas.pro/n8n/webhook/prosaas-call-completed
prosaas-backend  | [WEBHOOK] Sending call.completed to https://prosaas.pro/n8n/webhook/prosaas-call-compl... (attempt 2)
prosaas-backend  | [WEBHOOK] ⚠️ Response 404: {"code":404,"message":"The requested webhook \"POST prosaas-call-completed\" is not registered.","hint":"The workflow must be active for a production URL to run successfully. You can activate the work
prosaas-backend  | [WEBHOOK] Retrying in 3s...
prosaas-backend  | INFO:     172.18.0.5:36938 - "GET /api/notifications HTTP/1.1" 401 Unauthorized
prosaas-backend  | [WEBHOOK] Sending call.completed to https://prosaas.pro/n8n/webhook/prosaas-call-compl... (attempt 3)
prosaas-backend  | [WEBHOOK] ⚠️ Response 404: {"code":404,"message":"The requested webhook \"POST prosaas-call-completed\" is not registered.","hint":"The workflow must be active for a production URL to run successfully. You can activate the work
prosaas-backend  | [WEBHOOK] ❌ Failed after 3 attempts
prosaas-backend  | 🔇 [SILENCE] Warning 2/2 after 6.0s silence
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city'] | Collected: ['service_type=בבקשה פורט זלתות']
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['city', 'service_type']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['city'] | Collected: ['service_type=בבקשה פורט זלתות']
prosaas-backend  | 🔇 [SILENCE] Max warnings exceeded - initiating polite hangup
prosaas-backend  | 📞 [SMART HANGUP] === CALL ENDING ===
prosaas-backend  | 📞 [SMART HANGUP] Reason: silence_timeout
prosaas-backend  | 📞 [SMART HANGUP] Lead captured: False
prosaas-backend  | 📞 [SMART HANGUP] Goodbye detected: False
prosaas-backend  | 📞 [SMART HANGUP] Lead state: {'city_needs_retry': 'True', 'service_type': 'בבקשה פורט זלתות'}
prosaas-backend  | 📞 [SMART HANGUP] Required fields: ['city', 'service_type']
prosaas-backend  | 📞 [SMART HANGUP] ===================
prosaas-backend  | ✅ [BUILD 163] Call CA0b99b3... hung up successfully: silence_timeout
prosaas-backend  | INFO:  
