prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.done
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 🎤 END OF UTTERANCE: 5.4s audio, conversation #3
prosaas-backend  | 🧠 STATE -> PROCESSING | len=86400 | silence_ms=3054
prosaas-backend  | ⏭️ [REALTIME] Skipping Google STT/TTS - using Realtime API only
prosaas-backend  | ✅ Processing complete for conversation #3
prosaas-backend  | 🎙️ REAL_VOICE: rms=168.0 > threshold=112.9
prosaas-backend  | ✅ [POLITE HANGUP] Twilio TX queue empty after 100ms
prosaas-backend  | ⏳ [POLITE HANGUP] Queues empty, waiting 2s for network...
prosaas-backend  | [REALTIME] event: conversation.item.created
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=14, voice_frames=0
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 🔇 [AUDIO GATE] Blocked 1200 frames (rms=9, reason=noise)
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=1269, voice_frames=0
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [BUILD 163] Audio playback complete - triggering polite hangup now
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: AI finished speaking politely)
prosaas-backend  | 📞 [SMART HANGUP] === CALL ENDING ===
prosaas-backend  | 📞 [SMART HANGUP] Reason: AI finished speaking politely
prosaas-backend  | 📞 [SMART HANGUP] Lead captured: False
prosaas-backend  | 📞 [SMART HANGUP] Goodbye detected: True
prosaas-backend  | 📞 [SMART HANGUP] Lead state: {'service_type': 'תרצה עזרה', 'city': 'קריית שמונה'}
prosaas-backend  | 📞 [SMART HANGUP] Required fields: ['service_type', 'city']
prosaas-backend  | 📞 [SMART HANGUP] ===================
prosaas-backend  | ✅ [BUILD 163] Call CA6a172b... hung up successfully: AI finished speaking politely
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 🔍 [BARGE-IN DEBUG] is_ai_speaking=False, user_has_spoken=True, waiting_for_dtmf=False, rms=18, voice_frames=0
prosaas-backend  | WS_STOP sid=MZ4154908678ed96bbb4e4700624079609 rx=1958 tx=965
prosaas-backend  | 📞 [SES-f88e6e46] CALL ENDED - duration=39.1s, business_id=1, rx=1958, tx=965
prosaas-backend  | 📤 [REALTIME] Audio sender ended
prosaas-backend  | 📝 [REALTIME] Text sender ended
prosaas-backend  | 🧹 Waiting for 5 background threads...
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | STREAM_ENDED call=CA6a172b849ce6f1bc4d3b0ed2c225ec32 stream=N/A status=N/A
prosaas-backend  | INFO:     172.18.0.5:42510 - "POST /webhook/stream_ended HTTP/1.1" 204 No Content
prosaas-backend  | ✅ Found existing recording for CA6a172b849ce6f1bc4d3b0ed2c225ec32: /2010-04-01/Accounts/ACcd09431f076a309088b18ed1f286f32e/Recordings/REd627410c5ee3c8d058661b212a2c1e51.json
prosaas-backend  | INFO:     172.18.0.5:42512 - "POST /webhook/call_status HTTP/1.1" 204 No Content
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | ✅ Recording queued for processing: CA6a172b849ce6f1bc4d3b0ed2c225ec32
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | INFO:     connection closed
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=21, tx_q=0) - retry in 500ms
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaking=False, openai_q=0, tx_q=1) - retry in 500ms
prosaas-backend  | ⚠️ Background thread 0 still running after timeout
prosaas-backend  | 📞 [STATE] Transitioning to CLOSING (reason: silence_timeout)
prosaas-backend  | 🛡️ [PROTECTION] Audio still playing (ai_speaki
